value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
% Biomass,NN0384,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% Concentrate,JS0208/LM0104/LM0125,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% Full Stomach Weight,LM0336,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% Grass Hay Mixture,JS0324.1/JS0324.2,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% Herbaceous Cover,HK0340,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% QE,NN0179,Animals.Diet.Comp,DC.Ctannins.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
% Shrub Species,HK0340,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% concentrate,JS0207,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% of Control Diet(Natural Pasture Hay),NN0345,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% of Total Grazing Area,JS0374,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% of Trt 3's Intake of Concentrate,JS0193,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% of concentrate,JS0167,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% of supplement,JS0316,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% of the mass of the feed (w/w basis),JS0299,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
% single cell protein,NN0320,Animals.Diet,D.Unit.Amount,,,lookup_levels,FALSE,"",""
%/(g/100g for pumpkin leaves),NN0119.2,Animals.Diet.Comp,DC.CP.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
2 weeks,NN0244.1,Animals.Diet,D.Unit.Time,,,lookup_levels,FALSE,"",""
2x/day,JS0269.2,Animals.Diet,D.Unit.Time,,,lookup_levels,FALSE,"",""
4 days interval,HK0177,Animals.Diet,D.Unit.Time,,,lookup_levels,FALSE,"",""
550 nm/g NDF,NN0202,Animals.Diet.Comp,DC.Ctannins.Unit,Animals.Diet.Comp,DC.Unit,lookup_levels,FALSE,"",""
