https://docs.google.com/spreadsheets/d/1VUkcWho2ggz5LrQXGIWMXtcItbd-aayPm9Kr-1spRPs/edit#gid=1515353756,
AE Practice,Search String
Productivity & Economics,"(""benefit$cost analy*"" OR ""benefit$cost ratio"" OR BCR OR ""bottom line"" OR ""break even period*"" OR ""breakeven period*"" OR ""capital destruction"" OR ""discount* cash flow*"" OR ""econom* analy*"" OR ""econom* evaluation*"" OR ""econom* valuation*"" OR ""economic impact*"" OR ""full time equivalent*"" OR ""gross added value*"" OR ""gross margin*"" OR ""interest rate*"" OR ""kg per acre"" OR ""kg per hectare"" OR ""kilogram* per acre"" OR ""kilogram* per hectare"" OR ""man day*"" OR ""man power"" OR ""net added value*"" OR ""net present value*"" OR ""net worth"" OR ""partial budget*"" OR ""payback period*"" OR ""turnoff rate*"" OR ""willingness to pay"" OR ""working day*"" OR ((""direct use"" OR ""direct-use"" OR ""passive use""OR ""passive-use"" OR ""non market"" OR ""non-market"" OR contingent OR consumptive OR consumption OR subsistence OR livelihood*) AND (value* OR valuation*)) OR cost* OR debit* OR expense* OR financ* OR income* OR kg/acre OR kg/ha OR labor* OR labour* OR lease OR payment* OR profit* OR receipt* OR return* OR revenue* OR t/acre OR t/ha OR ""ton* per acre"" OR ""ton* per ha"" OR ""ton* per hectare"" OR yield*)"
Resilience 1,"(""adapt* capacity"" OR ""adapt* management"" OR ""capacity building"" OR ""indigenous knowledge"" OR ""local knowledge"" OR ""tradition* knowledge"" OR ""ecolog* knowledge"" OR ""commun* awareness"" OR ""commun* assessment*"" OR ""vulnerab* assessment*"" OR ""risk assessment*"" OR ""participatory assessment*"" OR ""soci* ecological system*"" OR ""global warming"" OR ""changing climate"" OR ""climate change"" OR ((drought OR heat OR flood OR waterlog* OR waterlog* OR climate OR weather OR ""dry spell"" OR erosion) NEAR (resist* OR tolera* OR risk OR resilien* OR adapt* OR vulnerab* OR extreme OR variance OR variability OR unpredictab* OR expos* OR impact OR loss OR mitigat* OR reduc*)))"
Resilience 2,"(“bulk density” OR “livelihood diversif*” OR “water productivity” OR ((livestock* OR crop*) NEAR infestation*) OR ((loss* OR formation OR aggregation OR fertility OR cover* OR degrad* OR decline) NEAR Soil) OR ((potassium OR phosphorus OR nitrogen) NEAR uptake) OR ((smallholder* OR household* OR agricult*) AND diet) OR (labour OR labor) OR (micronutrient* NEAR food) OR ((women OR female OR gender) AND (participation OR budget OR labo*)) OR (""yield loss"" NEAR cost*) OR ""agr*bio*divers*"" OR anaemia OR biodiversity OR ""cash flow*"" OR ""climate smart"" OR ""consumption expenditure"" OR ""cost revenue*"" OR ""crop divers*"" OR ""cultivar divers*"" OR deforest* OR degrad* OR desertification OR ""dietary diversity"" OR ""direct use"" OR ""eco efficien*"" OR ""female headed household*"" OR ((fertilizer OR irrigation OR water OR nutrient) NEAR (management OR optimiz*)) OR ""food access"" OR ""food affordab*"" OR ""food availab*"" OR ""food consumption*"" OR ""food distribut*"" OR ""food expenditure"" OR ""food insecurity"" OR ""food intake"" OR ""food safety"" OR ""food scarc*"" OR ""food security"" OR ""food stability"" OR ""food system*"" OR ""food utili$ation"" OR ""food volatility"" OR ""gender adapt*"" OR ""gender analysis"" OR ""gender asset*"" OR ""gender equality"" OR ""gender equity"" OR ""gender inequality"" OR ""gender knowledge"" OR ""gender relation*"" OR ""gender role*"" OR ""gender vulnerability"" OR ""gender issues"" OR ""gender roles"" OR ""household consumption"" OR hunger OR ""implement* cost*"" OR income OR integrated water resource* management OR irrigation OR kilocalorie* OR ""land slide*"" OR ""landscape diversi*"" OR landslide OR livelihoods OR malnourishment OR malnutrition OR matriarchy OR meals per day OR membership* OR ""nitrogen uptake"" OR ""nutrient accumulation"" OR ""nutrient balanc*"" OR ""nutrient enrichment"" OR ""nutrient flow*"" OR ""nutrient loss*"" OR ""nutrient uptake"" OR nutrition* OR ""off$farm activit*"" OR ""on$farm activit*"" OR ""own use"" OR ""pest cost*"" OR ""pest* and pathogen*"" OR ""phosphorus uptake"" OR ""population* dynamic*"" OR poverty OR ""power relation*"" OR ""red list*"" OR revenue* OR runoff OR ""seasonal labo*"" OR ""shannon* index"" OR ""simpson* index"" OR ""soil biomass"" OR ""soil humus"" OR ""soil carbon"" OR ""soil organic carbon"" OR ""soil organic matter"" OR ""species diversi*"" OR ""species evenness"" OR ""species presence"" OR ""species resilien*"" OR ""species resistance"" OR ""species richness"" OR ""species tolerance"" OR susceptib* OR ""total expenditure"" OR ""transpiration rate*"" OR undernourishment OR undernutrition OR ""use efficiency"" OR ""value chain*"" OR wage OR ""water availability"" OR ""water conservation"" OR ""water consumption"" OR ""water footprint"" OR ""water lifecycle*"" OR ""water loss"" OR ""water productivity"" OR ""water recycling"" OR ""water reuse"" OR ""water stress"" OR ""water uptake"" OR ""water use"" OR ""water utility"" OR ""water waste"" OR ""women* association*"" OR ""women* farm* association*"" OR ""women* group*"")"
Resilience 1+2,"((""adapt* capacity"" OR ""adapt* management"" OR ""capacity building"" OR ""indigenous knowledge"" OR ""local knowledge"" OR ""tradition* knowledge"" OR ""ecolog* knowledge"" OR ""commun* awareness"" OR ""commun* assessment*"" OR ""vulnerab* assessment*"" OR ""risk assessment*"" OR ""participatory assessment*"" OR ""soci* ecological system*"" OR ""global warming"" OR ""changing climate"" OR ""climate change"" OR ((drought OR heat OR flood OR waterlog* OR waterlog* OR climate OR weather OR ""dry spell"" OR erosion) NEAR (resist* OR tolera* OR risk OR resilien* OR adapt* OR vulnerab* OR extreme OR variance OR variability OR unpredictab* OR expos* OR impact OR loss OR mitigat* OR reduc*))) AND (“bulk density” OR “livelihood diversif*” OR “water productivity” OR ((livestock* OR crop*) NEAR infestation*) OR ((loss* OR formation OR aggregation OR fertility OR cover* OR degrad* OR decline) NEAR Soil) OR ((potassium OR phosphorus OR nitrogen) NEAR uptake) OR ((smallholder* OR household* OR agricult*) AND diet) OR (labour OR labor) OR (micronutrient* NEAR food) OR ((women OR female OR gender) AND (participation OR budget OR labo*)) OR (""yield loss"" NEAR cost*) OR ""agr*bio*divers*"" OR anaemia OR biodiversity OR ""cash flow*"" OR ""climate smart"" OR ""consumption expenditure"" OR ""cost revenue*"" OR ""crop divers*"" OR ""cultivar divers*"" OR deforest* OR degrad* OR desertification OR ""dietary diversity"" OR ""direct use"" OR ""eco efficien*"" OR ""female headed household*"" OR ((fertilizer OR irrigation OR water OR nutrient) NEAR (management OR optimiz*)) OR ""food access"" OR ""food affordab*"" OR ""food availab*"" OR ""food consumption*"" OR ""food distribut*"" OR ""food expenditure"" OR ""food insecurity"" OR ""food intake"" OR ""food safety"" OR ""food scarc*"" OR ""food security"" OR ""food stability"" OR ""food system*"" OR ""food utili$ation"" OR ""food volatility"" OR ""gender adapt*"" OR ""gender analysis"" OR ""gender asset*"" OR ""gender equality"" OR ""gender equity"" OR ""gender inequality"" OR ""gender knowledge"" OR ""gender relation*"" OR ""gender role*"" OR ""gender vulnerability"" OR ""gender issues"" OR ""gender roles"" OR ""household consumption"" OR hunger OR ""implement* cost*"" OR income OR integrated water resource* management OR irrigation OR kilocalorie* OR ""land slide*"" OR ""landscape diversi*"" OR landslide OR livelihoods OR malnourishment OR malnutrition OR matriarchy OR meals per day OR membership* OR ""nitrogen uptake"" OR ""nutrient accumulation"" OR ""nutrient balanc*"" OR ""nutrient enrichment"" OR ""nutrient flow*"" OR ""nutrient loss*"" OR ""nutrient uptake"" OR nutrition* OR ""off$farm activit*"" OR ""on$farm activit*"" OR ""own use"" OR ""pest cost*"" OR ""pest* and pathogen*"" OR ""phosphorus uptake"" OR ""population* dynamic*"" OR poverty OR ""power relation*"" OR ""red list*"" OR revenue* OR runoff OR ""seasonal labo*"" OR ""shannon* index"" OR ""simpson* index"" OR ""soil biomass"" OR ""soil humus"" OR ""soil carbon"" OR ""soil organic carbon"" OR ""soil organic matter"" OR ""species diversi*"" OR ""species evenness"" OR ""species presence"" OR ""species resilien*"" OR ""species resistance"" OR ""species richness"" OR ""species tolerance"" OR susceptib* OR ""total expenditure"" OR ""transpiration rate*"" OR undernourishment OR undernutrition OR ""use efficiency"" OR ""value chain*"" OR wage OR ""water availability"" OR ""water conservation"" OR ""water consumption"" OR ""water footprint"" OR ""water lifecycle*"" OR ""water loss"" OR ""water productivity"" OR ""water recycling"" OR ""water reuse"" OR ""water stress"" OR ""water uptake"" OR ""water use"" OR ""water utility"" OR ""water waste"" OR ""women* association*"" OR ""women* farm* association*"" OR ""women* group*""))"
Agroforestry,"(agroforest* OR agrosilv* OR ""evergreen agriculture"" OR ""farmer managed natural regeneration"" OR FMNR OR taungya OR alleycrop* OR ""alley crop*"" OR alleysystem OR ""alley system"" OR alleyfarm* OR ""alley farm*"" OR ""boundary plant*"" OR ""liv* fence*"" OR hedgerow* OR ""riparian buffer strip*"" OR ""riparian forest buffer*"" OR windbreak* OR shelterbelt* OR ""shelter belt*"" OR ""improved fallow*"" OR silv*past* OR silv*arable* OR ""tree belt*"" OR agrosilvopasto* OR (parkland* AND (agric* OR farm*)) OR ((tree* OR management) NEAR shad* ) OR ((plant* OR farm* OR barrier* OR ""buffer strip*"") NEAR shrub* NEAR contour) OR ((plant* OR farm* OR barrier* OR ""buffer strip*"") NEAR tree* NEAR contour) OR ((multifunction* OR multipurpos* OR ""multi functional*"" OR ""multi purpos*"" OR multistrata OR ""multi strata"") NEAR tree*) OR ((multifunction* OR multipurpos* OR ""multi functional*"" OR ""multi purpos*"" OR multistrata OR ""multi strata"") NEAR shrub*) OR ((multifunction* OR multipurpos* OR ""multi functional*"" OR ""multi purpos*"" OR multistrata OR ""multi strata"") NEAR farm*) OR ((multifunction* OR multipurpos* OR ""multi functional*"" OR ""multi purpos*"" OR multistrata OR ""multi strata"") NEAR agr*))"
Agronomy,"(""adapted cultivar"" or ""adapted crop"" OR ""adapted variet*"" OR ""adapted breed"" OR ""biological control"" OR biocontrol OR ""natural pest control"" OR ""natural weed control"" OR ""biological pest control"" OR biopesticide OR bioinsecticide OR ""biological pest management "" OR ""biological pest suppression"" OR ""ecological pest control"" OR ""conservation agriculture"" OR ""cover crop*"" OR ""crop diversification"" OR ""crop rotation*"" OR ""crop* system diversification"" OR ""dibble stick"" OR ""direct drill*"" OR ""direct plant"" OR ""direct seed"" OR ""direct sow*"" OR ""diversif* crop*"" OR ""diversion ditch"" OR ""double crop*"" OR ""triple crop*"" OR ""drip irrigation"" OR ""ecological pest management"" OR ""erosion control"" OR ""erosion mitigation"" OR ""erosion prevention"" OR ""erosion reduction"" OR ""fertili$er banding"" OR ""grass strip"" OR ""vegetat* strip"" OR ""grass barrier"" OR ""vegetat* barrier"" OR ""green manure"" OR ""ground cover"" OR ""improv* fallow*"" OR ""improved groundwater management"" OR ""integrated pest control"" OR ""integrated pest management"" OR ""integrated plant protection"" OR ""Integrated soil fertility"" OR ""integrated soil nutrient"" OR ""legum* cover"" OR ""limit* soil disturbance"" OR ""min* till*"" OR ""minimum soil disturbance"" OR ""narrow$spectrum insecticide"" OR ""narrow$spectrum"" OR ""no till*"" OR ""non$broad spectrum"" OR ""not$broad spectrum"" OR ""organic amendment*"" OR ""organic fertili$er"" OR ""organic input*"" OR ""permanent ground cover"" OR ""permanent soil cover"" OR ""planting basin"" OR ""basin planting"" OR ""planting pit"" OR ""pit plant*"" OR ""precis* herbicide"" OR ""precis* insecticide"" OR ""precis* pesticide"" OR ""precision agriculture"" OR ""reduced till*"" OR ""relay crop*"" OR ""residue retained*"" OR ""residue kept"" OR ""residue management"" OR ""resilient cultivar"" OR ""resilient crop"" OR ""resilient variet*"" OR ""resilient breed"" OR ""resist* cultivar"" OR ""resist* crop"" OR ""resist* variet*"" OR ""resist* breed"" OR ""ridge and furrow"" OR ""rock fertili$er"" OR ""runoff reduction"" OR ""selective herbicide"" OR ""selective insecticide"" OR ""selective pesticide"" OR ""small$scale irrigation"" OR ""soil amendment"" OR ""soil and water conservation"" OR ""soil conservation"" OR ""soil protection"" OR ""specific herbicide"" OR ""specific insecticide"" OR ""specific pesticide"" OR ""stale seed bed"" OR ""stone lines"" OR ""stone rows"" OR ""supp* irrigation"" OR ""sustainable pest management"" OR ""targeted herbicide"" OR ""targeted insecticide"" OR ""targeted pesticide"" OR ""tolerant cultivar"" or ""tolerant crop"" OR ""tolerant variet*"" OR ""tolerant breed"" OR ""water conservation"" OR ""water harvesting"" OR ""zero till*"" OR (""crop succession"" OR ""crop* sequence"") OR (""fertili$er input*"" AND soil) OR (""inoculation"" NEAR (soil OR plant OR seed OR crop)) OR (""micro catchment"" OR microcatchment) OR (""organic residue*"" AND soil) OR (""soil organic matter"" NEAR management) OR ((""controlled release"" OR ""slow-release"") NEAR fertili$er) OR ((pest* OR insect* OR weeds* OR pathogen* OR damage OR loss) NEAR threshold*) OR ((water OR rain* OR moisture) AND conservation) OR ((zai OR zay OR matengo) NEAR (pit OR basin OR hole)) OR (bund AND contour) OR (conservation NEAR tillage) OR (divers* NEAR (farm* OR agric* OR ""food system"")) OR (efficien* NEAR (nitrogen OR phosphorous OR fertili$er OR input)) OR (fanya NEAR terrace*) OR (fertili$er NEAR (efficien* OR optim*)) OR (micro-dos* OR microdos*) OR (soil NEAR (""animal waste"" OR bioinput or biosolid OR compost* OR manure)) OR (stubble NEAR tillage) OR agroecolog* OR biofertil* OR bokashi OR bunds OR covercrop* OR disc$plant* OR entomopathogen* OR fertigation OR groundcover OR intercrop* OR ""inter crop*"" OR IPM OR mulch* OR polycultur* OR ripper OR ripline OR ripping OR terrac* OR vermicompost)"
Products,"(maize OR ""zea mays"" OR ""common beans"" OR Phaseolus OR cattle OR ""Bos taurus"" OR ""Bos indicus"" OR bull OR heifer OR bovine OR coffee OR ""coffea arabica"" OR ""coffea robusta"")"
Livestock,"(""managed grazing"" OR ""rotational grazing"" OR ""holistic planned grazing"" OR ""rational grazing"" OR ""intensive grazing"" OR ""short duration grazing"" OR ""high intensity low frequency grazing"" OR ""high intensity grazing"" OR ""mob grazing"" OR ""ultra-high stock density grazing"" OR ""biomass accumulation grazing"" OR ""strip grazing"")"
